85,90,78,1
70,60,75,0
95,88,92,1
55,65,60,0
80,78,85,1
45,55,65,0
90,85,80,1
60,70,65,0
88,90,85,1
72,68,70,0
82,75,78,1
50,60,55,0
95,92,90,1
40,50,45,0
78,85,80,1
85,82,75,1
68,72,70,0
60,65,60,0
92,88,85,1
55,58,52,0
81,85,79,1
67,64,70,0
76,80,75,1
50,55,50,0
88,85,82,1
62,70,65,0
79,83,78,1
45,52,50,0
91,87,89,1
54,58,60,0
86,90,85,1
63,70,65,0
80,75,78,1
52,58,55,0
92,95,90,1
48,55,50,0
77,80,78,1
85,88,84,1
70,65,72,0
90,85,88,1
65,70,68,0
83,86,85,1
60,65,60,0
88,92,90,1
72,68,70,0
75,78,80,1
50,55,50,0
92,88,85,1
67,72,70,0
